M,0.46,0.35,0.12,0.515,0.224,0.108,0.157,10.0
M,0.715,0.565,0.175,1.953,0.765,0.419,0.414,10.0
I,0.5,0.385,0.15,0.627,0.261,0.167,0.16,10.0
M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10.0
F,0.565,0.445,0.155,0.826,0.341,0.206,0.248,10.0
F,0.535,0.4,0.15,1.224,0.618,0.275,0.288,10.0
M,0.475,0.375,0.13,0.518,0.208,0.117,0.17,10.0
M,0.755,0.58,0.205,2.007,0.83,0.402,0.595,10.0
F,0.575,0.48,0.17,1.1,0.506,0.249,0.31,10.0
I,0.415,0.31,0.11,0.297,0.123,0.057,0.1,10.0
F,0.605,0.485,0.16,1.057,0.37,0.236,0.355,10.0
F,0.575,0.42,0.19,1.764,0.914,0.377,0.41,10.0
M,0.57,0.45,0.155,1.195,0.563,0.257,0.295,10.0
I,0.59,0.475,0.145,0.975,0.468,0.207,0.259,10.0
F,0.55,0.47,0.15,0.921,0.381,0.244,0.268,10.0
F,0.49,0.38,0.125,0.549,0.245,0.108,0.174,10.0
M,0.615,0.505,0.165,1.167,0.49,0.296,0.345,10.0
F,0.615,0.495,0.165,1.198,0.542,0.287,0.319,10.0
I,0.405,0.305,0.105,0.363,0.157,0.071,0.125,10.0
F,0.575,0.45,0.135,0.829,0.362,0.166,0.236,10.0
M,0.67,0.51,0.175,1.527,0.651,0.448,0.345,10.0
I,0.54,0.405,0.15,0.759,0.307,0.208,0.19,10.0
I,0.53,0.42,0.155,0.81,0.473,0.111,0.192,10.0
M,0.585,0.465,0.165,0.885,0.403,0.163,0.274,10.0
F,0.455,0.375,0.125,0.458,0.199,0.111,0.12,10.0
M,0.66,0.495,0.195,1.628,0.594,0.36,0.485,10.0
F,0.665,0.515,0.18,1.389,0.595,0.324,0.395,10.0
M,0.595,0.48,0.185,1.179,0.526,0.298,0.314,10.0
M,0.66,0.515,0.165,1.447,0.694,0.298,0.376,10.0
M,0.515,0.38,0.135,0.662,0.288,0.21,0.155,10.0
F,0.66,0.535,0.205,1.442,0.593,0.278,0.49,10.0
F,0.595,0.465,0.15,0.98,0.412,0.196,0.226,10.0
I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10.0
I,0.55,0.425,0.145,0.89,0.433,0.171,0.236,10.0
F,0.345,0.26,0.09,0.207,0.078,0.044,0.077,10.0
M,0.615,0.47,0.16,1.018,0.473,0.24,0.28,10.0
F,0.615,0.5,0.165,1.327,0.6,0.302,0.355,10.0
M,0.625,0.48,0.17,1.356,0.671,0.268,0.339,10.0
F,0.645,0.525,0.17,1.37,0.614,0.283,0.34,10.0
M,0.64,0.505,0.155,1.403,0.705,0.266,0.335,10.0
M,0.485,0.36,0.13,0.542,0.26,0.096,0.16,10.0
M,0.655,0.545,0.19,1.425,0.633,0.333,0.378,10.0
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10.0
M,0.62,0.475,0.195,1.359,0.594,0.337,0.375,10.0
F,0.57,0.47,0.14,0.871,0.385,0.211,0.232,10.0
F,0.615,0.46,0.15,1.027,0.494,0.201,0.275,10.0
I,0.54,0.425,0.13,0.721,0.296,0.169,0.225,10.0
F,0.515,0.395,0.165,0.757,0.191,0.17,0.321,10.0
M,0.705,0.56,0.165,1.675,0.797,0.41,0.388,10.0
M,0.595,0.46,0.155,1.03,0.428,0.207,0.331,10.0
M,0.67,0.52,0.175,1.476,0.628,0.379,0.374,10.0
F,0.645,0.48,0.17,1.135,0.528,0.254,0.305,10.0
F,0.695,0.55,0.155,1.85,0.767,0.442,0.418,10.0
M,0.57,0.45,0.155,1.194,0.513,0.21,0.343,10.0
F,0.625,0.475,0.175,1.144,0.476,0.248,0.349,10.0
F,0.525,0.425,0.14,0.874,0.421,0.182,0.223,10.0
M,0.585,0.46,0.15,1.206,0.581,0.216,0.323,10.0
M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10.0
F,0.425,0.335,0.095,0.322,0.121,0.061,0.125,10.0
M,0.66,0.51,0.18,1.261,0.5,0.234,0.339,10.0
F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10.0
I,0.65,0.52,0.15,1.238,0.55,0.296,0.331,10.0
M,0.595,0.47,0.155,1.202,0.492,0.387,0.265,10.0
F,0.61,0.465,0.16,1.073,0.484,0.252,0.28,10.0
M,0.595,0.46,0.17,1.13,0.57,0.256,0.265,10.0
F,0.535,0.405,0.145,0.685,0.273,0.171,0.205,10.0
M,0.56,0.45,0.155,0.913,0.36,0.271,0.35,10.0
M,0.74,0.57,0.18,1.873,0.912,0.427,0.446,10.0
M,0.35,0.26,0.09,0.198,0.073,0.056,0.06,10.0
M,0.585,0.46,0.185,0.922,0.364,0.213,0.285,10.0
F,0.6,0.475,0.17,1.088,0.491,0.248,0.31,10.0
M,0.575,0.435,0.13,1.011,0.368,0.222,0.32,10.0
F,0.505,0.375,0.115,0.59,0.264,0.12,0.167,10.0
M,0.56,0.425,0.135,0.849,0.327,0.221,0.265,10.0
M,0.625,0.5,0.175,1.057,0.462,0.258,0.305,10.0
F,0.625,0.47,0.17,1.255,0.525,0.242,0.405,10.0
M,0.65,0.515,0.175,1.466,0.677,0.305,0.4,10.0
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10.0
F,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10.0
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10.0
F,0.52,0.41,0.16,0.712,0.285,0.153,0.225,10.0
F,0.625,0.49,0.145,0.92,0.437,0.174,0.28,10.0
I,0.425,0.38,0.105,0.327,0.129,0.079,0.1,10.0
M,0.625,0.49,0.175,1.333,0.571,0.271,0.405,10.0
F,0.56,0.445,0.155,1.224,0.557,0.323,0.27,10.0
M,0.57,0.47,0.155,1.186,0.636,0.232,0.277,10.0
M,0.715,0.525,0.2,1.89,0.95,0.436,0.431,10.0
F,0.5,0.4,0.125,0.668,0.261,0.132,0.22,10.0
F,0.695,0.535,0.175,1.361,0.547,0.282,0.465,10.0
I,0.545,0.43,0.15,0.729,0.302,0.132,0.255,10.0
M,0.61,0.475,0.17,1.027,0.435,0.234,0.304,10.0
I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,10.0
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10.0
M,0.615,0.455,0.13,0.969,0.49,0.182,0.266,10.0
M,0.61,0.47,0.175,1.214,0.532,0.284,0.325,10.0
M,0.625,0.5,0.185,1.243,0.6,0.248,0.335,10.0
M,0.61,0.475,0.155,1.168,0.554,0.239,0.33,10.0
F,0.57,0.435,0.15,0.83,0.388,0.156,0.245,10.0
F,0.615,0.485,0.16,1.158,0.501,0.25,0.315,10.0
F,0.58,0.455,0.12,1.074,0.479,0.274,0.265,10.0
M,0.625,0.5,0.14,1.096,0.545,0.217,0.295,10.0
F,0.655,0.52,0.19,1.455,0.6,0.387,0.383,10.0
M,0.605,0.475,0.175,1.201,0.54,0.275,0.309,10.0
I,0.515,0.42,0.15,0.673,0.256,0.134,0.235,10.0
M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10.0
M,0.58,0.43,0.125,0.912,0.446,0.208,0.121,10.0
F,0.635,0.475,0.15,1.185,0.533,0.307,0.291,10.0
M,0.7,0.565,0.175,1.857,0.845,0.394,0.54,10.0
I,0.52,0.425,0.17,0.681,0.28,0.174,0.195,10.0
F,0.655,0.51,0.175,1.415,0.589,0.373,0.364,10.0
I,0.545,0.425,0.14,0.815,0.305,0.231,0.244,10.0
F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10.0
M,0.605,0.49,0.14,0.976,0.419,0.206,0.315,10.0
M,0.64,0.495,0.17,1.139,0.54,0.282,0.285,10.0
M,0.555,0.46,0.16,0.86,0.335,0.194,0.275,10.0
F,0.7,0.525,0.19,1.602,0.707,0.365,0.43,10.0
I,0.555,0.43,0.155,0.74,0.314,0.144,0.28,10.0
F,0.645,0.51,0.155,1.129,0.502,0.24,0.342,10.0
F,0.72,0.55,0.2,1.997,0.904,0.469,0.522,10.0
M,0.58,0.45,0.14,0.824,0.347,0.177,0.263,10.0
M,0.55,0.42,0.16,1.341,0.633,0.311,0.344,10.0
M,0.595,0.455,0.15,0.886,0.432,0.201,0.223,10.0
M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10.0
F,0.51,0.4,0.14,0.815,0.459,0.197,0.195,10.0
F,0.58,0.435,0.155,0.879,0.425,0.169,0.243,10.0
M,0.53,0.42,0.135,0.675,0.294,0.156,0.183,10.0
M,0.66,0.53,0.195,1.551,0.651,0.33,0.495,10.0
I,0.57,0.44,0.13,0.767,0.347,0.179,0.202,10.0
I,0.55,0.435,0.14,0.8,0.295,0.191,0.238,10.0
M,0.505,0.385,0.115,0.483,0.21,0.104,0.154,10.0
M,0.685,0.535,0.155,1.385,0.662,0.215,0.408,10.0
F,0.655,0.525,0.175,1.348,0.586,0.261,0.394,10.0
M,0.55,0.405,0.14,0.803,0.244,0.164,0.255,10.0
I,0.64,0.49,0.135,1.1,0.488,0.251,0.293,10.0
M,0.45,0.35,0.1,0.368,0.147,0.102,0.12,10.0
I,0.565,0.46,0.155,0.872,0.376,0.215,0.25,10.0
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10.0
M,0.56,0.44,0.13,0.826,0.243,0.202,0.285,10.0
F,0.375,0.29,0.115,0.271,0.093,0.066,0.089,10.0
M,0.625,0.505,0.185,1.157,0.52,0.241,0.354,10.0
F,0.6,0.455,0.145,0.89,0.419,0.172,0.269,10.0
M,0.62,0.465,0.145,0.911,0.375,0.215,0.278,10.0
F,0.675,0.53,0.175,1.447,0.678,0.33,0.389,10.0
F,0.665,0.51,0.175,1.381,0.675,0.299,0.325,10.0
I,0.475,0.365,0.12,0.53,0.251,0.098,0.163,10.0
M,0.61,0.45,0.15,0.871,0.407,0.184,0.25,10.0
M,0.67,0.525,0.18,1.662,0.801,0.365,0.43,10.0
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10.0
M,0.6,0.465,0.155,1.017,0.512,0.247,0.225,10.0
M,0.6,0.46,0.18,1.14,0.423,0.258,0.365,10.0
F,0.4,0.31,0.115,0.347,0.148,0.07,0.115,10.0
M,0.615,0.48,0.185,1.221,0.499,0.315,0.33,10.0
F,0.53,0.385,0.125,0.67,0.289,0.151,0.18,10.0
I,0.525,0.405,0.125,0.657,0.299,0.151,0.168,10.0
M,0.605,0.48,0.17,1.184,0.582,0.237,0.317,10.0
F,0.665,0.525,0.21,1.644,0.818,0.34,0.428,10.0
F,0.59,0.455,0.15,0.976,0.465,0.206,0.277,10.0
F,0.71,0.5,0.15,1.317,0.684,0.282,0.28,10.0
M,0.6,0.47,0.16,1.012,0.441,0.202,0.305,10.0
M,0.565,0.43,0.15,0.831,0.425,0.174,0.219,10.0
M,0.465,0.36,0.105,0.488,0.188,0.085,0.19,10.0
M,0.695,0.55,0.205,2.173,1.133,0.467,0.496,10.0
F,0.635,0.515,0.19,1.372,0.507,0.305,0.45,10.0
I,0.52,0.4,0.13,0.583,0.233,0.137,0.18,10.0
I,0.515,0.35,0.105,0.475,0.213,0.123,0.128,10.0
M,0.34,0.265,0.085,0.184,0.077,0.046,0.065,10.0
I,0.585,0.47,0.17,0.985,0.37,0.24,0.315,10.0
I,0.52,0.41,0.14,0.699,0.34,0.129,0.195,10.0
F,0.66,0.525,0.18,1.597,0.777,0.397,0.361,10.0
F,0.61,0.495,0.175,1.264,0.53,0.315,0.346,10.0
F,0.655,0.505,0.165,1.367,0.584,0.352,0.396,10.0
F,0.53,0.41,0.13,0.697,0.302,0.194,0.2,10.0
M,0.45,0.355,0.115,0.478,0.18,0.119,0.155,10.0
M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,10.0
F,0.62,0.48,0.17,1.105,0.535,0.25,0.287,10.0
F,0.63,0.48,0.165,1.262,0.551,0.277,0.389,10.0
F,0.525,0.415,0.15,0.706,0.329,0.147,0.199,10.0
F,0.535,0.415,0.17,0.879,0.295,0.197,0.285,10.0
F,0.67,0.585,0.16,1.309,0.545,0.295,0.413,10.0
I,0.47,0.37,0.14,0.499,0.21,0.123,0.145,10.0
F,0.595,0.44,0.135,0.964,0.501,0.172,0.258,10.0
I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10.0
F,0.605,0.465,0.155,1.1,0.547,0.267,0.259,10.0
M,0.585,0.49,0.185,1.171,0.522,0.254,0.335,10.0
M,0.625,0.495,0.18,1.082,0.472,0.254,0.314,10.0
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10.0
I,0.525,0.4,0.14,0.696,0.241,0.16,0.253,10.0
F,0.61,0.46,0.145,1.119,0.478,0.295,0.299,10.0
F,0.65,0.51,0.17,1.567,0.725,0.349,0.391,10.0
I,0.465,0.325,0.14,0.762,0.362,0.154,0.209,10.0
F,0.625,0.485,0.165,1.226,0.508,0.296,0.36,10.0
F,0.6,0.47,0.19,1.135,0.492,0.26,0.338,10.0
M,0.595,0.49,0.185,1.185,0.482,0.202,0.361,10.0
M,0.445,0.345,0.09,0.38,0.143,0.074,0.125,10.0
F,0.58,0.475,0.155,0.974,0.431,0.23,0.285,10.0
M,0.645,0.51,0.195,1.226,0.589,0.222,0.375,10.0
F,0.55,0.45,0.145,0.741,0.295,0.144,0.267,10.0
F,0.68,0.52,0.185,1.541,0.599,0.395,0.458,10.0
M,0.62,0.47,0.145,1.087,0.511,0.272,0.257,10.0
I,0.585,0.475,0.16,1.051,0.48,0.234,0.285,10.0
M,0.65,0.495,0.16,1.208,0.55,0.27,0.32,10.0
M,0.695,0.56,0.185,1.74,0.885,0.372,0.438,10.0
M,0.6,0.47,0.16,1.194,0.563,0.305,0.264,10.0
M,0.64,0.51,0.17,1.372,0.567,0.307,0.409,10.0
F,0.6,0.475,0.155,1.21,0.653,0.17,0.321,10.0
M,0.635,0.495,0.155,1.364,0.583,0.299,0.295,10.0
M,0.465,0.36,0.13,0.527,0.211,0.119,0.165,10.0
M,0.66,0.53,0.175,1.583,0.74,0.351,0.405,10.0
I,0.36,0.275,0.11,0.234,0.095,0.053,0.085,10.0
M,0.55,0.43,0.18,0.827,0.441,0.159,0.225,10.0
M,0.49,0.38,0.14,0.761,0.245,0.167,0.185,10.0
F,0.625,0.49,0.155,1.33,0.668,0.259,0.33,10.0
F,0.625,0.485,0.175,1.362,0.677,0.262,0.371,10.0
F,0.415,0.305,0.105,0.361,0.12,0.082,0.1,10.0
F,0.535,0.435,0.16,0.811,0.316,0.18,0.24,10.0
M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10.0
M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10.0
M,0.575,0.44,0.185,1.025,0.508,0.225,0.249,10.0
F,0.695,0.55,0.185,1.679,0.805,0.402,0.397,10.0
F,0.64,0.5,0.175,1.394,0.494,0.291,0.4,10.0
F,0.65,0.545,0.175,1.525,0.59,0.326,0.495,10.0
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10.0
M,0.51,0.39,0.125,0.657,0.262,0.184,0.175,10.0
M,0.65,0.485,0.16,1.74,0.572,0.279,0.308,10.0
M,0.635,0.495,0.17,1.37,0.657,0.306,0.365,10.0
I,0.55,0.405,0.15,0.676,0.302,0.147,0.21,10.0
M,0.53,0.43,0.135,0.879,0.28,0.217,0.25,10.0
M,0.33,0.235,0.09,0.163,0.062,0.034,0.055,10.0
M,0.66,0.525,0.2,1.489,0.607,0.38,0.421,10.0
M,0.515,0.385,0.13,0.623,0.286,0.129,0.175,10.0
I,0.575,0.425,0.135,0.797,0.364,0.196,0.239,10.0
F,0.635,0.5,0.18,1.257,0.539,0.292,0.35,10.0
F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10.0
F,0.73,0.57,0.165,2.017,1.069,0.418,0.435,10.0
M,0.61,0.45,0.19,1.081,0.517,0.25,0.294,10.0
M,0.61,0.48,0.17,1.137,0.457,0.29,0.347,10.0
F,0.57,0.465,0.16,0.894,0.315,0.258,0.263,10.0
M,0.545,0.46,0.16,0.898,0.341,0.166,0.345,10.0
I,0.47,0.375,0.105,0.441,0.167,0.087,0.145,10.0
M,0.57,0.445,0.16,1.015,0.516,0.164,0.3,10.0
F,0.63,0.5,0.185,1.383,0.54,0.332,0.38,10.0
M,0.635,0.515,0.165,1.229,0.506,0.298,0.354,10.0
M,0.635,0.49,0.16,1.101,0.534,0.187,0.346,10.0
M,0.58,0.455,0.135,0.796,0.405,0.167,0.204,10.0
F,0.66,0.515,0.17,1.337,0.615,0.313,0.358,10.0
M,0.615,0.475,0.17,1.129,0.48,0.302,0.3,10.0
F,0.72,0.575,0.195,2.151,1.075,0.382,0.585,10.0
F,0.4,0.335,0.115,0.434,0.211,0.121,0.12,10.0
I,0.68,0.53,0.185,1.11,0.439,0.245,0.34,10.0
M,0.345,0.255,0.08,0.169,0.06,0.043,0.054,10.0
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10.0
M,0.56,0.44,0.16,1.112,0.504,0.279,0.26,10.0
M,0.55,0.425,0.15,0.832,0.411,0.177,0.217,10.0
M,0.485,0.37,0.14,0.573,0.204,0.142,0.175,10.0
F,0.49,0.365,0.145,0.635,0.2,0.163,0.22,10.0
M,0.615,0.475,0.175,1.103,0.464,0.31,0.273,10.0
M,0.46,0.38,0.135,0.482,0.207,0.123,0.145,10.0
F,0.515,0.415,0.14,0.694,0.312,0.152,0.2,10.0
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10.0
I,0.4,0.31,0.1,0.288,0.115,0.064,0.095,10.0
M,0.35,0.255,0.065,0.179,0.071,0.039,0.06,10.0
M,0.565,0.45,0.155,1.06,0.474,0.24,0.265,10.0
M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10.0
M,0.695,0.53,0.21,1.51,0.664,0.41,0.385,10.0
I,0.395,0.295,0.1,0.272,0.134,0.033,0.085,10.0
F,0.485,0.375,0.135,0.556,0.193,0.132,0.169,10.0
M,0.58,0.44,0.175,1.226,0.541,0.271,0.327,10.0
M,0.63,0.525,0.195,1.314,0.494,0.257,0.465,10.0
F,0.655,0.505,0.175,1.291,0.621,0.297,0.326,10.0
F,0.645,0.535,0.19,1.24,0.468,0.239,0.424,10.0
F,0.645,0.5,0.155,1.221,0.615,0.236,0.319,10.0
I,0.57,0.425,0.14,0.766,0.331,0.14,0.24,10.0
F,0.47,0.36,0.12,0.478,0.211,0.106,0.15,10.0
M,0.615,0.495,0.2,1.219,0.564,0.227,0.389,10.0
M,0.595,0.465,0.125,0.799,0.325,0.2,0.23,10.0
I,0.54,0.415,0.11,0.619,0.276,0.15,0.177,10.0
F,0.625,0.48,0.17,1.353,0.624,0.278,0.365,10.0
I,0.575,0.45,0.135,0.872,0.45,0.162,0.225,10.0
M,0.54,0.425,0.12,0.817,0.295,0.153,0.195,10.0
M,0.635,0.525,0.185,1.407,0.684,0.3,0.375,10.0
F,0.63,0.485,0.185,1.167,0.548,0.249,0.34,10.0
F,0.585,0.465,0.145,0.986,0.433,0.215,0.285,10.0
F,0.575,0.46,0.165,0.958,0.482,0.195,0.236,10.0
F,0.52,0.415,0.145,0.805,0.333,0.173,0.285,10.0
F,0.545,0.415,0.16,0.772,0.272,0.146,0.277,10.0
I,0.58,0.46,0.14,0.83,0.392,0.165,0.238,10.0
M,0.61,0.48,0.185,1.307,0.69,0.292,0.29,10.0
I,0.55,0.43,0.145,0.712,0.303,0.152,0.225,10.0
F,0.655,0.51,0.175,1.653,0.852,0.337,0.403,10.0
M,0.56,0.44,0.16,0.865,0.331,0.208,0.26,10.0
M,0.585,0.46,0.165,1.114,0.583,0.235,0.274,10.0
M,0.575,0.47,0.185,0.985,0.375,0.218,0.355,10.0
F,0.695,0.56,0.185,1.772,0.82,0.331,0.437,10.0
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10.0
M,0.645,0.53,0.195,1.39,0.647,0.295,0.374,10.0
F,0.62,0.48,0.165,1.013,0.533,0.437,0.324,10.0
I,0.51,0.375,0.15,0.842,0.385,0.156,0.255,10.0
M,0.555,0.405,0.19,1.406,0.612,0.342,0.389,10.0
M,0.475,0.375,0.12,0.563,0.253,0.121,0.185,10.0
F,0.5,0.4,0.125,0.577,0.24,0.126,0.185,10.0
F,0.635,0.5,0.15,1.376,0.65,0.361,0.31,10.0
F,0.645,0.515,0.175,1.546,0.704,0.365,0.415,10.0
F,0.63,0.49,0.17,1.216,0.463,0.205,0.311,10.0
M,0.58,0.44,0.15,1.047,0.518,0.219,0.28,10.0
M,0.77,0.6,0.215,2.195,1.052,0.482,0.584,10.0
M,0.735,0.57,0.21,2.236,1.171,0.463,0.532,10.0
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10.0
F,0.585,0.45,0.16,1.077,0.5,0.288,0.25,10.0
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10.0
M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,10.0
M,0.535,0.43,0.155,0.785,0.329,0.169,0.245,10.0
M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10.0
F,0.595,0.465,0.145,0.796,0.343,0.18,0.243,10.0
M,0.525,0.365,0.17,0.961,0.438,0.223,0.276,10.0
F,0.44,0.34,0.13,0.42,0.153,0.116,0.13,10.0
M,0.63,0.49,0.165,1.201,0.575,0.273,0.294,10.0
F,0.69,0.58,0.195,1.658,0.708,0.362,0.472,10.0
